Repository,Type,YAML File Name,YAML File Path,YAML File Link,Status,Line Number,Level,Rule,Description
gp_btp_repo,private,jb_btp_scx_vendor_subscription_bank_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_bank_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_bank_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (104 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_scx_vendor_subscription_contact_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_contact_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_contact_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (107 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_scx_vendor_subscription_mas_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_mas_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_scx_vendor_subscription_mas_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (103 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_smf_vendor_mas.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_mas.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_mas.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (90 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_smf_vendor_type_hist.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_type_hist.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_type_hist.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (96 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_smf_vendor_type_mas.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_type_mas.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_smf_vendor_type_mas.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (95 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_sourcesole_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_sourcesole_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_sourcesole_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (90 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_spend_type_parts_stg.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_spend_type_parts_stg.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_spend_type_parts_stg.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (96 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_static_fx_usd_rates_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_static_fx_usd_rates_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_static_fx_usd_rates_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (99 > 80 characters) (line-length)
gp_btp_repo,private,jb_btp_vendor_classification_ref.yml,vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_classification_ref.yml,https://github.build.ge.com/vernova-gp-dbr/gp_btp_repo/silver/src/workflows/jb_btp_vendor_classification_ref.yml,Non-Compliant,8:81,error,line-length,8:81: line too long (101 > 80 characters) (line-length)
