Repository,YAML File,YAML File Path,Status,Violations
GP_AF_SAL,sal_DigCOE_SFDC_Record_Type_SOT.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_Record_Type_SOT.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_DigCOE_SFDC_Record_Type_SOT.yml"", line 23, column 15"
GP_AF_SAL,sal_echo_pdl_to_cwb_plan_EDL2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_echo_pdl_to_cwb_plan_EDL2.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_echo_pdl_to_cwb_plan_EDL2.yml"", line 17, column 15"
GP_AF_SAL,SAL_EDL2_comm_finance_Risk_Smartsheet2GP.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\SAL_EDL2_comm_finance_Risk_Smartsheet2GP.yml,Compliant,
GP_AF_SAL,sal_GEPS_PARTS_ORDER_DATA_LOAD.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_GEPS_PARTS_ORDER_DATA_LOAD.yml,Error,"could not determine a constructor for the tag 'tag:yaml.org,2002:python/tuple'
  in ""cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_GEPS_PARTS_ORDER_DATA_LOAD.yml"", line 25, column 15"
GP_AF_SAL,sal_j_comm_geps_order_hdr_holds_alpha_dw_t_v1.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_geps_order_hdr_holds_alpha_dw_t_v1.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_geps_order_headers_alpha_dw_t_v3.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_geps_order_headers_alpha_dw_t_v3.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_geps_order_lines_alpha_dw_t_v4.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_geps_order_lines_alpha_dw_t_v4.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_geps_order_line_holds_alpha_dw_t_v2.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_geps_order_line_holds_alpha_dw_t_v2.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_geps_quote_line_holds_dw_t_v5.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_geps_quote_line_holds_dw_t_v5.yml,Non-Compliant,No interval scheduled for this job
GP_AF_SAL,sal_j_comm_parts_order_attachments_t_v6.yml,cloned_repos\GP_AF_SAL\dags\talend_exit\SAL\workflows\sal_j_comm_parts_order_attachments_t_v6.yml,Non-Compliant,No interval scheduled for this job
